Time (s)	Liquid height relative to zero point (mm)
15.6667	-0.8418
15.6833	-0.4652
15.7000	-0.1466
15.7167	0.2010
15.7333	0.2590
15.7500	-0.0017
15.7667	-0.2045
15.7833	-0.4652
15.8000	-0.5521
15.8167	-0.6680
15.8333	-0.5811
15.8500	-0.4073
15.8667	-0.1466
15.8833	0.1721
15.9000	0.4328
15.9167	0.6356
15.9333	0.7804
15.9500	0.3749
15.9667	-0.2625
15.9833	-0.7549
16.0000	-1.0446
16.0167	-1.0446
16.0333	-0.8998
16.0500	-0.6970
16.0667	-0.4073
16.0833	-0.1176
16.1000	0.1721
16.1167	0.3459
16.1333	0.2300
16.1500	-0.0017
16.1667	-0.3494
16.1833	-0.5811
16.2000	-0.7260
16.2167	-0.6970
16.2333	-0.4942
16.2500	-0.2335
16.2667	0.1141
16.2833	0.4328
16.3000	0.6935
16.3167	0.8963
16.3333	0.7514
16.3500	0.2010
16.3667	-0.2335
16.3833	-0.6390
16.4000	-0.7839
16.4167	-0.6680
16.4333	-0.4652
16.4500	-0.1466
16.4667	0.1721
16.4833	0.4907
16.5000	0.8094
16.5167	1.0122
16.5333	0.6935
16.5500	0.2300
16.5667	-0.2045
16.5833	-0.4942
16.6000	-0.5521
16.6167	-0.3494
16.6333	-0.0886
16.6500	0.2300
16.6667	0.5776
16.6833	0.8963
16.7000	1.1280
16.7167	0.9542
16.7333	0.4328
16.7500	-0.0017
16.7667	-0.3494
16.7833	-0.4363
16.8000	-0.3783
16.8167	-0.2045
16.8333	0.0272
16.8500	0.3459
16.8667	0.5776
16.8833	0.8094
16.9000	0.9542
16.9167	0.8094
16.9333	0.4618
16.9500	0.1141
16.9667	-0.1466
16.9833	-0.2045
17.0000	-0.1176
17.0167	0.0272
17.0333	0.2879
17.0500	0.5197
17.0667	0.7804
17.0833	0.9253
17.1000	0.5487
17.1167	0.2300
17.1333	-0.2045
17.1500	-0.4363
17.1667	-0.6390
17.1833	-0.6970
17.2000	-0.5232
17.2167	-0.2914
17.2333	0.0852
17.2500	0.4038
17.2667	0.7225
17.2833	0.9542
17.3000	0.6356
17.3167	0.2300
17.3333	-0.2045
17.3500	-0.4942
17.3667	-0.6680
17.3833	-0.6101
17.4000	-0.4652
17.4167	-0.2045
17.4333	0.0562
17.4500	0.3749
17.4667	0.6356
17.4833	0.6935
17.5000	0.2300
17.5167	-0.0886
17.5333	-0.5232
17.5500	-0.7839
17.5667	-0.8708
17.5833	-0.6680
17.6000	-0.4363
17.6167	-0.0886
17.6333	0.2300
17.6500	0.5487
17.6667	0.7514
17.6833	0.3169
17.7000	-0.2625
17.7167	-0.7839
17.7333	-1.1025
17.7500	-1.2184
17.7667	-1.1315
17.7833	-0.8998
17.8000	-0.5811
17.8167	-0.2335
17.8333	0.0272
17.8500	0.3169
17.8667	0.2590
17.8833	-0.1176
17.9000	-0.4652
17.9167	-0.7839
17.9333	-0.9577
17.9500	-1.0156
17.9667	-0.8998
17.9833	-0.6680
18.0000	-0.3494
18.0167	-0.0017
18.0333	0.3459
18.0500	0.6066
18.0667	0.8384
18.0833	0.6935
18.1000	-0.2045
18.1167	-0.7549
18.1333	-1.3633
18.1500	-1.3922
18.1667	-1.2474
18.1833	-1.0156
18.2000	-0.7549
18.2167	-0.4652
18.2333	-0.2045
18.2500	-0.1756
18.2667	-0.5521
18.2833	-0.8708
18.3000	-1.2184
18.3167	-1.3343
18.3333	-1.4502
18.3500	-1.3343
18.3667	-1.1605
18.3833	-0.8129
18.4000	-0.4942
18.4167	-0.2335
18.4333	-0.0597
18.4500	-0.2335
18.4667	-0.5232
18.4833	-0.8129
18.5000	-1.1025
18.5167	-1.2474
18.5333	-1.2474
18.5500	-1.0736
18.5667	-0.8708
18.5833	-0.5521
18.6000	-0.2914
18.6167	-0.0307
18.6333	-0.1466
18.6500	-0.5232
18.6667	-0.8129
18.6833	-1.1895
18.7000	-1.3343
18.7167	-1.4791
18.7333	-1.3633
18.7500	-1.0736
18.7667	-0.7260
18.7833	-0.3204
18.8000	0.0562
18.8167	0.3749
18.8333	0.5776
18.8500	0.3749
18.8667	0.0272
18.8833	-0.3494
18.9000	-0.5811
18.9167	-0.5811
18.9333	-0.3783
18.9500	-0.1466
18.9667	0.1721
18.9833	0.4907
19.0000	0.7804
19.0167	1.0122
19.0333	1.1280
19.0500	0.6356
19.0667	0.2010
19.0833	-0.2335
19.1000	-0.4363
19.1167	-0.4073
19.1333	-0.2335
19.1500	0.0272
19.1667	0.3749
19.1833	0.6356
19.2000	0.8963
19.2167	1.1280
19.2333	1.1860
19.2500	0.7804
19.2667	0.4038
19.2833	0.0562
19.3000	-0.1176
19.3167	-0.0886
19.3333	0.0562
19.3500	0.3169
19.3667	0.5487
19.3833	0.7514
19.4000	0.6935
19.4167	0.3749
19.4333	0.1141
19.4500	-0.1756
19.4667	-0.3204
19.4833	-0.5232
19.5000	-0.5811
19.5167	-0.4363
19.5333	-0.1756
19.5500	0.1721
19.5667	0.4618
19.5833	0.6645
19.6000	0.3749
19.6167	0.1721
19.6333	-0.0597
19.6500	-0.2335
19.6667	-0.3783
19.6833	-0.5232
19.7000	-0.4363
19.7167	-0.2335
19.7333	0.0562
19.7500	0.3749
19.7667	0.7225
19.7833	0.8673
19.8000	0.4618
